target_label,result_file,asr,fitness_score
1,0.pt,0,-9.475582122802734
1,1000.pt,0,-9.45692253112793
1,1500.pt,0,-9.45692253112793
1,2000.pt,0,-9.45692253112793
1,500.pt,0,-9.45692253112793
1,final.pt,0,-9.45692253112793
1,original.pt,0,-9.475582122802734
2,0.pt,0,-738.7103271484375
2,1000.pt,0,-9.345977783203125
2,1500.pt,0,-9.345977783203125
2,2000.pt,0,-9.345977783203125
2,500.pt,0,-9.345977783203125
2,final.pt,0,-9.345977783203125
2,original.pt,0,-738.7103271484375
3,0.pt,0,-9.112805366516113
3,1000.pt,0,-9.607988357543945
3,1500.pt,0,-9.607988357543945
3,2000.pt,0,-9.607988357543945
3,500.pt,0,-9.607988357543945
3,final.pt,0,-9.607988357543945
3,original.pt,0,-9.112805366516113
4,0.pt,0,-9.493098258972168
4,1000.pt,0,-9.366264343261719
4,1500.pt,0,-9.366264343261719
4,2000.pt,0,-9.366264343261719
4,500.pt,0,-9.36572551727295
4,final.pt,0,-9.366264343261719
4,original.pt,0,-9.493098258972168
5,0.pt,0,-9.26809310913086
5,1000.pt,0,-9.02977466583252
5,1500.pt,0,-9.02977466583252
5,2000.pt,0,-9.02977466583252
5,500.pt,0,-9.064069747924805
5,final.pt,0,-9.02977466583252
5,original.pt,0,-9.26809310913086
