[2026-04-29 12:13:57,412][__main__][INFO] - Using device: cpu
[2026-04-29 12:13:57,932][__main__][INFO] - Processing target 1
[2026-04-29 12:14:00,105][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.475582122802734
[2026-04-29 12:14:00,160][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:14:00,210][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:14:00,258][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:14:00,311][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:14:00,360][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:14:00,409][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.475582122802734
[2026-04-29 12:14:00,410][__main__][INFO] - Processing target 2
[2026-04-29 12:14:00,460][__main__][INFO] -   0.pt: ASR=False, fitness_score=-738.7103271484375
[2026-04-29 12:14:00,508][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:14:00,555][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:14:00,603][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:14:00,651][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:14:00,702][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:14:00,747][__main__][INFO] -   original.pt: ASR=False, fitness_score=-738.7103271484375
[2026-04-29 12:14:00,748][__main__][INFO] - Processing target 3
[2026-04-29 12:14:00,797][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.112805366516113
[2026-04-29 12:14:00,845][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:14:00,894][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:14:00,940][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:14:00,988][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:14:01,035][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:14:01,083][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.112805366516113
[2026-04-29 12:14:01,084][__main__][INFO] - Processing target 4
[2026-04-29 12:14:01,131][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.493098258972168
[2026-04-29 12:14:01,180][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:14:01,225][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:14:01,278][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:14:01,327][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.36572551727295
[2026-04-29 12:14:01,377][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:14:01,425][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.493098258972168
[2026-04-29 12:14:01,426][__main__][INFO] - Processing target 5
[2026-04-29 12:14:01,474][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.26809310913086
[2026-04-29 12:14:01,522][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:14:01,571][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:14:01,620][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:14:01,668][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.064069747924805
[2026-04-29 12:14:01,718][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:14:01,767][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.26809310913086
[2026-04-29 12:14:01,770][__main__][INFO] - Evaluation results saved to /scratch/users/u03kj22/SMIRK/output/attacks/evaluation_results.csv
[2026-04-29 12:14:01,771][__main__][INFO] - Summary: 0/35 successful attacks (ASR: 0.00%)
[2026-04-29 12:14:04,923][__main__][INFO] - HTML report: file:///scratch/users/u03kj22/SMIRK/output/attacks/report.html
